window_id,start_time,end_time,total_packets,total_bytes,avg_packet_size,avg_payload_size,packet_rate,small_packet_ratio,syn_count,ack_count,fin_count,label
190,1698376200.407962,1698376200.907962,458,98678.0,215.45414847161572,146.9126637554585,916.0,0.6681222707423581,150,304,0,1
191,1698376200.907962,1698376201.407962,502,103642.0,206.4581673306773,137.87649402390437,1004.0,0.6733067729083665,171,325,0,1
192,1698376201.407962,1698376201.907962,9,2004.0,222.66666666666666,153.11111111111111,18.0,0.6666666666666666,4,5,0,1
193,1698376201.907962,1698376202.407962,60,5669.0,94.48333333333333,27.416666666666668,120.0,0.9333333333333333,8,52,0,1
194,1698376202.407962,1698376202.907962,35,4035.0,115.28571428571429,47.0,70.0,0.8857142857142857,1,34,0,1
195,1698376202.907962,1698376203.407962,30,2831.0,94.36666666666666,25.433333333333334,60.0,0.9333333333333333,2,27,0,1
196,1698376203.407962,1698376203.907962,85,7314.0,86.04705882352941,16.941176470588236,170.0,0.9647058823529412,3,82,0,1
197,1698376203.907962,1698376204.407962,182,14873.0,81.71978021978022,12.225274725274724,364.0,0.9725274725274725,6,176,0,1
198,1698376204.407962,1698376204.907962,3,222.0,74.0,0.0,6.0,1.0,3,0,0,1
199,1698376204.907962,1698376205.407962,5,625.0,125.0,52.6,10.0,0.8,4,1,0,1
200,1698376205.407962,1698376205.907962,13,1663.0,127.92307692307692,61.30769230769231,26.0,0.8461538461538461,1,12,0,1
201,1698376205.907962,1698376206.407962,58,4591.0,79.15517241379311,10.39655172413793,116.0,0.9655172413793104,2,56,1,1
202,1698376206.407962,1698376206.907962,164,13794.0,84.10975609756098,14.329268292682928,328.0,0.9695121951219512,4,158,0,1
207,1698376208.907962,1698376209.407962,2,1102.0,551.0,485.0,4.0,0.0,0,2,0,1
209,1698376209.907962,1698376210.407962,144,13360.0,92.77777777777777,24.194444444444443,288.0,0.9444444444444444,9,135,0,1
210,1698376210.407962,1698376210.907962,91,6322.0,69.47252747252747,0.0,182.0,1.0,1,90,0,1
214,1698376212.407962,1698376212.907962,2,686.0,343.0,273.0,4.0,0.5,1,1,0,1
215,1698376212.907962,1698376213.407962,3,965.0,321.6666666666667,253.0,6.0,0.3333333333333333,1,2,0,1
221,1698376215.907962,1698376216.407962,1,505.0,505.0,439.0,2.0,0.0,0,1,0,1
222,1698376216.407962,1698376216.907962,283,22770.0,80.45936395759718,6.855123674911661,566.0,0.9858657243816255,8,275,0,1
223,1698376216.907962,1698376217.407962,2,560.0,280.0,210.0,4.0,0.5,1,1,0,1
227,1698376218.907962,1698376219.407962,4,1068.0,267.0,197.0,8.0,0.5,2,2,0,1
228,1698376219.407962,1698376219.907962,2,512.0,256.0,186.0,4.0,0.5,1,1,0,1
229,1698376219.907962,1698376220.407962,41,3124.0,76.1951219512195,8.536585365853659,82.0,0.975609756097561,1,40,0,1
230,1698376220.407962,1698376220.907962,115,8910.0,77.47826086956522,0.0,230.0,1.0,0,115,0,1
235,1698376222.907962,1698376223.407962,89,6398.0,71.88764044943821,0.0,178.0,1.0,7,82,0,1
236,1698376223.407962,1698376223.907962,37,4525.0,122.29729729729729,51.86486486486486,74.0,0.8918918918918919,4,33,0,1
237,1698376223.907962,1698376224.407962,12,1478.0,123.16666666666667,55.833333333333336,24.0,0.8333333333333334,2,10,0,1
244,1698376227.407962,1698376227.907962,1,66.0,66.0,0.0,2.0,1.0,0,1,0,1
245,1698376227.907962,1698376228.407962,35,3350.0,95.71428571428571,28.0,70.0,0.9428571428571428,6,29,0,1
247,1698376228.907962,1698376229.407962,120,8308.0,69.23333333333333,0.0,240.0,1.0,0,120,0,1
248,1698376229.407962,1698376229.907962,156,13029.0,83.51923076923077,15.211538461538462,312.0,0.9615384615384616,3,153,0,1
249,1698376229.907962,1698376230.407962,62,4212.0,67.93548387096774,0.0,124.0,1.0,0,62,0,1
250,1698376230.407962,1698376230.907962,27,3830.0,141.85185185185185,68.5925925925926,54.0,0.8518518518518519,8,19,0,1
251,1698376230.907962,1698376231.407962,111,10727.0,96.63963963963964,28.117117117117118,222.0,0.9369369369369369,11,100,0,1
252,1698376231.407962,1698376231.907962,47,4082.0,86.85106382978724,16.51063829787234,94.0,0.9574468085106383,0,47,0,1
253,1698376231.907962,1698376232.407962,51,5854.0,114.7843137254902,47.84313725490196,102.0,0.8823529411764706,6,45,0,1
254,1698376232.407962,1698376232.907962,1,74.0,74.0,0.0,2.0,1.0,1,0,0,1
258,1698376234.407962,1698376234.907962,2,466.0,233.0,163.0,4.0,0.5,1,1,0,1
263,1698376236.907962,1698376237.407962,1,558.0,558.0,492.0,2.0,0.0,0,1,0,1
264,1698376237.407962,1698376237.907962,17,1610.0,94.70588235294117,26.11764705882353,34.0,0.9411764705882353,1,16,0,1
